Id,SalePrice
2,130967.23868586718
4,258806.31547544233
6,190332.12902306116
7,254233.3522471625
17,197026.84310111636
18,372906.3373297439
22,202118.99512645346
27,116419.72710570051
31,94955.53033180285
36,154060.71005273255
39,368553.5379188224
40,256252.35119616636
42,334791.2310987501
46,243305.62818697686
53,176627.41125783772
58,201329.22239891774
61,318348.63833988534
72,220493.3044586706
79,124816.493349224
80,190411.89843108164
82,159629.5853687739
83,104832.83140084417
85,146877.9122981035
88,128741.82273665369
92,296509.2802868742
93,284916.7949147705
95,187691.3706843556
102,184593.73618031474
103,183528.42347294174
106,232350.17862466487
107,180391.2622478834
110,215233.113382234
114,208734.90519477538
116,182685.0593567947
117,150634.7160565046
118,143154.15966913226
125,173039.2756088102
126,167427.8329469906
127,144036.33826696165
128,197041.17482570818
134,134564.6514479611
135,186878.92526282708
137,245598.16975785798
143,125177.19990033531
147,123977.93674578897
148,182256.04105605918
150,104412.3220120098
156,143156.2096846095
157,129679.09595991459
159,148275.70650243634
161,257452.21219894727
167,127583.58929324079
170,137121.68977640214
171,85034.04134115383
175,71078.00360212087
179,130699.25298437878
181,95700.03441465592
186,183665.8387493864
193,183912.08625531645
194,74533.95077318652
206,103691.77117132471
208,141626.54397041956
210,165870.78056962197
211,109192.8315460637
212,99981.62063351652
214,92584.87099255843
215,158687.84220165556
217,128674.77604417977
222,150412.864527903
227,154291.25753349575
228,159046.4137131499
233,221636.88548140696
235,152989.5580703482
238,139007.61231257813
241,172224.96541221024
252,189532.1833407327
253,178880.73294124383
256,151132.53064901067
257,167408.5927665531
258,195582.45920876943
259,177783.66938361325
261,145275.2253116234
263,122849.4821019733
266,219387.06904692456
267,218896.13941220532
270,144035.79304333887
271,230502.29830852203
276,126108.31115798473
285,148055.71453692266
288,61258.72361538318
289,137732.85127710708
290,128486.99585815983
291,145888.14799694048
292,143608.10456661694
293,204640.5908403403
294,215494.85992330217
295,179281.849268579
304,154061.2474202836
322,354923.914645097
326,178972.2180568833
327,83071.97878485304
328,135974.570163384
331,79447.15869226729
332,77564.31947598251
333,81087.9636924726
335,125933.67916573543
337,202600.57212093115
342,121905.4840579159
343,182799.72784989796
347,201031.87105167535
350,324075.88446704636
352,256477.93657718424
358,181675.2533176185
359,183445.41200111058
360,161849.6054488891
368,329635.95993572846
369,277309.83442037634
373,184408.90830201158
377,217093.39440084138
383,180947.30747417852
386,220626.21085566113
387,224114.88873402143
390,171773.44627541618
391,159594.7213317305
395,148601.5107743919
397,133978.23742135317
398,110952.88248093183
401,108743.6099885384
404,114290.23996927998
408,105134.10973632647
409,131762.89909694245
410,147477.62481877362
418,129448.27853677468
422,411128.9260126418
427,376614.9426802828
431,390324.375900417
433,434851.66799305205
437,352953.283126801
438,287885.98606692324
442,363357.26761532755
447,230892.81574437206
459,357596.34827980754
460,318984.09231478046
464,206492.06801135855
465,191646.30243497554
467,180469.8867147384
468,188528.90960396477
474,179113.75166113765
480,203415.31553244934
481,202649.34454469438
483,236786.4293914202
488,185145.58112857686
492,195266.26283032622
494,199143.46040796305
499,318631.26527411334
500,284896.7574554915
501,313109.560816578
503,270539.8768783832
506,262123.9986156888
508,229651.16238683288
511,244205.30304060585
515,232247.7240843743
519,217862.26325900038
521,252260.89679263125
530,228362.3382644599
532,207011.90536833048
534,173076.21367129867
540,174484.21130615057
541,130235.00889555809
551,149630.69601726552
552,177069.19145087062
554,99518.1239043147
555,124792.44122642568
556,116482.67032232437
557,137994.93680822517
565,249515.83050375996
566,253147.0088501681
567,163793.1093458471
569,206423.37237035926
570,192790.15545369335
574,217134.09645585573
575,301071.4606483982
576,206691.90929633874
577,184229.27227695347
578,238676.73181602976
583,216645.71359701685
584,221927.8844614115
585,153959.09000718535
587,195047.94617607645
593,212162.08514893442
597,198351.11152626583
598,181791.3776696793
599,157972.19024776784
600,111244.7262152353
605,173458.753949332
607,162240.73298154882
608,154695.2374140943
611,185266.40338528316
616,111540.84814839663
625,178554.71219831184
629,174646.63064023253
630,159540.89212701842
631,121334.3212978771
640,203655.91809868
642,159653.98576610014
643,136519.9428700344
646,121226.83793450365
647,141484.087626119
655,92632.5740354423
659,107901.83793525139
663,35481.63664421992
665,91691.69792144616
667,212144.51872083027
673,159266.1952418623
676,128462.18007136362
680,160058.57349592118
682,123941.11634663309
687,149547.0630842343
688,154849.68273304714
692,104266.96092110664
693,110594.91344490266
695,153887.4851705043
697,133885.0592541896
700,132371.00270657698
702,129617.08736925496
703,155901.54167845068
704,83744.46728391414
712,76120.89384780286
713,96935.62747669703
717,188935.42298251324
720,175440.09343440572
721,81393.35102756922
726,145566.62159953814
733,115405.93826605313
736,121436.68655398946
738,108954.13561532773
741,122029.35311933825
743,37287.82303497975
745,99807.56846756364
750,148262.73864078772
756,89483.3264164853
757,126458.01712408615
758,142062.08719995938
760,79777.59098288628
765,146785.42951349026
775,135347.75010519614
776,131625.28212848125
